"kind","totalItems","items__kind","items__id","items__etag","items__selfLink","items__volumeInfo__title","items__volumeInfo__subtitle","items__volumeInfo__authors__001","items__volumeInfo__authors__002","items__volumeInfo__authors__003","items__volumeInfo__authors__004","items__volumeInfo__publisher","items__volumeInfo__publishedDate","items__volumeInfo__description","items__volumeInfo__industryIdentifiers__type","items__volumeInfo__industryIdentifiers__identifier","items__volumeInfo__readingModes__text","items__volumeInfo__readingModes__image","items__volumeInfo__pageCount","items__volumeInfo__printType","items__volumeInfo__categories__-","items__volumeInfo__averageRating","items__volumeInfo__ratingsCount","items__volumeInfo__maturityRating","items__volumeInfo__allowAnonLogging","items__volumeInfo__contentVersion","items__volumeInfo__panelizationSummary__containsEpubBubbles","items__volumeInfo__panelizationSummary__containsImageBubbles","items__volumeInfo__imageLinks__smallThumbnail","items__volumeInfo__imageLinks__thumbnail","items__volumeInfo__language","items__volumeInfo__previewLink","items__volumeInfo__infoLink","items__volumeInfo__canonicalVolumeLink","items__saleInfo__country","items__saleInfo__saleability","items__saleInfo__isEbook","items__saleInfo__listPrice__amount","items__saleInfo__listPrice__currencyCode","items__saleInfo__retailPrice__amount","items__saleInfo__retailPrice__currencyCode","items__saleInfo__buyLink","items__saleInfo__offers__finskyOfferType","items__saleInfo__offers__|","items__saleInfo__offers__|__amountInMicros","items__saleInfo__offers__|__currencyCode","items__accessInfo__country","items__accessInfo__viewability","items__accessInfo__embeddable","items__accessInfo__publicDomain","items__accessInfo__textToSpeechPermission","items__accessInfo__epub__isAvailable","items__accessInfo__epub__acsTokenLink","items__accessInfo__pdf__isAvailable","items__accessInfo__pdf__acsTokenLink","items__accessInfo__webReaderLink","items__accessInfo__accessViewStatus","items__accessInfo__quoteSharingAllowed","items__searchInfo__textSnippet"
"","","books#volume","Pyl3EAAAQBAJ","XM7Ot+jpSvE","https://www.googleapis.com/books/v1/volumes/Pyl3EAAAQBAJ","Data Science","Techniques and Intelligent Applications","Pallavi Vijay Chavan","Parikshit N Mahalle","Ramchandra Mangrulkar","Idongesit Williams","CRC Press","2022-08-15","This book covers the topic of data science in a comprehensive manner and synthesizes both fundamental and advanced topics of a research area that has now reached its maturity. The book starts with the basic concepts of data science. It highlights the types of data and their use and importance, followed by a discussion on a wide range of applications of data science and widely used techniques in data science. Key Features • Provides an internationally respected collection of scientific research methods, technologies and applications in the area of data science. • Presents predictive outcomes by applying data science techniques to real-life applications. • Provides readers with the tools, techniques and cases required to excel with modern artificial intelligence methods. • Gives the reader a variety of intelligent applications that can be designed using data science and its allied fields. The book is aimed primarily at advanced undergraduates and graduates studying machine learning and data science. Researchers and professionals will also find this book useful.","ISBN_13","9781000613421","False","True","323","BOOK","Business & Economics","","","NOT_MATURE","False","0.1.1.0.preview.1","False","False","http://books.google.com/books/content?id=Pyl3EAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books/content?id=Pyl3EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","en","http://books.google.co.in/books?id=Pyl3EAAAQBAJ&printsec=frontcover&dq=data+science&hl=&cd=6&source=gbs_api","http://books.google.co.in/books?id=Pyl3EAAAQBAJ&dq=data+science&hl=&source=gbs_api","https://books.google.com/books/about/Data_Science.html?hl=&id=Pyl3EAAAQBAJ","IN","NOT_FOR_SALE","False","","","","","","","","","","IN","PARTIAL","True","False","ALLOWED","False","","True","http://books.google.co.in/books/download/Data_Science-sample-pdf.acsm?id=Pyl3EAAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api","http://play.google.com/books/reader?id=Pyl3EAAAQBAJ&hl=&source=gbs_api","SAMPLE","False","This book covers the topic of data science in a comprehensive manner and synthesizes both fundamental and advanced topics of a research area that has now reached its maturity. The book starts with the basic concepts of data science."
"","","","","","","","","","","","","","","","ISBN_10","1000613429","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","books#volume","vcVKAQAAQBAJ","ZD7MTb4j0N4","https://www.googleapis.com/books/v1/volumes/vcVKAQAAQBAJ","Doing Data Science","Straight Talk from the Frontline","Cathy O'Neil","Rachel Schutt","","","""O'Reilly Media, Inc.""","2013-10-09","Now that people are aware that data can make the difference in an election or a business model, data science as an occupation is gaining ground. But how can you get started working in a wide-ranging, interdisciplinary field that’s so clouded in hype? This insightful book, based on Columbia University’s Introduction to Data Science class, tells you what you need to know. In many of these chapter-long lectures, data scientists from companies such as Google, Microsoft, and eBay share new algorithms, methods, and models by presenting case studies and the code they use. If you’re familiar with linear algebra, probability, and statistics, and have programming experience, this book is an ideal introduction to data science. Topics include: Statistical inference, exploratory data analysis, and the data science process Algorithms Spam filters, Naive Bayes, and data wrangling Logistic regression Financial modeling Recommendation engines and causality Data visualization Social networks and data journalism Data engineering, MapReduce, Pregel, and Hadoop Doing Data Science is collaboration between course instructor Rachel Schutt, Senior VP of Data Science at News Corp, and data science consultant Cathy O’Neil, a senior data scientist at Johnson Research Labs, who attended and blogged about the course.","ISBN_13","9781449363895","True","True","320","BOOK","Computers","4","1","NOT_MATURE","True","1.10.13.0.preview.3","False","False","http://books.google.com/books/content?id=vcVKAQAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books/content?id=vcVKAQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","en","http://books.google.co.in/books?id=vcVKAQAAQBAJ&printsec=frontcover&dq=data+science&hl=&cd=7&source=gbs_api","https://play.google.com/store/books/details?id=vcVKAQAAQBAJ&source=gbs_api","https://play.google.com/store/books/details?id=vcVKAQAAQBAJ","IN","FOR_SALE","True","2360","INR","2360","INR","https://play.google.com/store/books/details?id=vcVKAQAAQBAJ&rdid=book-vcVKAQAAQBAJ&rdot=1&source=gbs_api","1","listPrice","2360000000","INR","IN","PARTIAL","True","False","ALLOWED","True","","True","","http://play.google.com/books/reader?id=vcVKAQAAQBAJ&hl=&source=gbs_api","SAMPLE","False","But how can you get started working in a wide-ranging, interdisciplinary field that’s so clouded in hype? This insightful book, based on Columbia University’s Introduction to Data Science class, tells you what you need to know."
"","","","","","","","","","","","","","","","ISBN_10","144936389X","","","","","","","","","","","","","","","","","","","","","","","","","","","","retailPrice","2360000000","INR","","","","","","","","","","","","",""
"","","books#volume","LC2gEAAAQBAJ","/5wuyXJY0/4","https://www.googleapis.com/books/v1/volumes/LC2gEAAAQBAJ","Fundamentals of Data Science","Theory and Practice","Jugal K. Kalita","Dhruba K. Bhattacharyya","Swarup Roy","","Elsevier","2023-11-17","Fundamentals of Data Science: Theory and Practice presents basic and advanced concepts in data science along with real-life applications. The book provides students, researchers and professionals at different levels a good understanding of the concepts of data science, machine learning, data mining and analytics. Users will find the authors' research experiences and achievements in data science applications, along with in-depth discussions on topics that are essential for data science projects, including pre-processing, that is carried out before applying predictive and descriptive data analysis tasks and proximity measures for numeric, categorical and mixed-type data. The book's authors include a systematic presentation of many predictive and descriptive learning algorithms, including recent developments that have successfully handled large datasets with high accuracy. In addition, a number of descriptive learning tasks are included. - Presents the foundational concepts of data science along with advanced concepts and real-life applications for applied learning - Includes coverage of a number of key topics such as data quality and pre-processing, proximity and validation, predictive data science, descriptive data science, ensemble learning, association rule mining, Big Data analytics, as well as incremental and distributed learning - Provides updates on key applications of data science techniques in areas such as Computational Biology, Network Intrusion Detection, Natural Language Processing, Software Clone Detection, Financial Data Analysis, and Scientific Time Series Data Analysis - Covers computer program code for implementing descriptive and predictive algorithms","ISBN_13","9780323972635","True","True","336","BOOK","Mathematics","","","NOT_MATURE","False","1.6.5.0.preview.3","False","False","http://books.google.com/books/content?id=LC2gEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books/content?id=LC2gEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","en","http://books.google.co.in/books?id=LC2gEAAAQBAJ&printsec=frontcover&dq=data+science&hl=&cd=8&source=gbs_api","https://play.google.com/store/books/details?id=LC2gEAAAQBAJ&source=gbs_api","https://play.google.com/store/books/details?id=LC2gEAAAQBAJ","IN","FOR_SALE","True","8988.06","INR","8988.06","INR","https://play.google.com/store/books/details?id=LC2gEAAAQBAJ&rdid=book-LC2gEAAAQBAJ&rdot=1&source=gbs_api","1","listPrice","8988060000","INR","IN","PARTIAL","True","False","ALLOWED","True","http://books.google.co.in/books/download/Fundamentals_of_Data_Science-sample-epub.acsm?id=LC2gEAAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api","True","http://books.google.co.in/books/download/Fundamentals_of_Data_Science-sample-pdf.acsm?id=LC2gEAAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api","http://play.google.com/books/reader?id=LC2gEAAAQBAJ&hl=&source=gbs_api","SAMPLE","False","The book provides students, researchers and professionals at different levels a good understanding of the concepts of data science, machine learning, data mining and analytics."
"","","","","","","","","","","","","","","","ISBN_10","0323972632","","","","","","","","","","","","","","","","","","","","","","","","","","","","retailPrice","8988060000","INR","","","","","","","","","","","","",""
"","","books#volume","-nt8DwAAQBAJ","YONirZpHIVI","https://www.googleapis.com/books/v1/volumes/-nt8DwAAQBAJ","Data Science","Concepts and Practice","Vijay Kotu","Bala Deshpande","","","Morgan Kaufmann","2018-11-27","Learn the basics of Data Science through an easy to understand conceptual framework and immediately practice using RapidMiner platform. Whether you are brand new to data science or working on your tenth project, this book will show you how to analyze data, uncover hidden patterns and relationships to aid important decisions and predictions. Data Science has become an essential tool to extract value from data for any organization that collects, stores and processes data as part of its operations. This book is ideal for business users, data analysts, business analysts, engineers, and analytics professionals and for anyone who works with data. You'll be able to: - Gain the necessary knowledge of different data science techniques to extract value from data. - Master the concepts and inner workings of 30 commonly used powerful data science algorithms. - Implement step-by-step data science process using using RapidMiner, an open source GUI based data science platform Data Science techniques covered: Exploratory data analysis, Visualization, Decision trees, Rule induction, k-nearest neighbors, Naïve Bayesian classifiers, Artificial neural networks, Deep learning, Support vector machines, Ensemble models, Random forests, Regression, Recommendation engines, Association analysis, K-Means and Density based clustering, Self organizing maps, Text mining, Time series forecasting, Anomaly detection, Feature selection and more... - Contains fully updated content on data science, including tactics on how to mine business data for information - Presents simple explanations for over twenty powerful data science techniques - Enables the practical use of data science algorithms without the need for programming - Demonstrates processes with practical use cases - Introduces each algorithm or technique and explains the workings of a data science algorithm in plain language - Describes the commonly used setup options for the open source tool RapidMiner","ISBN_13","9780128147627","True","True","570","BOOK","Computers","","","NOT_MATURE","True","0.3.3.0.preview.3","False","False","http://books.google.com/books/content?id=-nt8DwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books/content?id=-nt8DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","en","http://books.google.co.in/books?id=-nt8DwAAQBAJ&printsec=frontcover&dq=data+science&hl=&cd=9&source=gbs_api","https://play.google.com/store/books/details?id=-nt8DwAAQBAJ&source=gbs_api","https://play.google.com/store/books/details?id=-nt8DwAAQBAJ","IN","FOR_SALE","True","5030.34","INR","5030.34","INR","https://play.google.com/store/books/details?id=-nt8DwAAQBAJ&rdid=book--nt8DwAAQBAJ&rdot=1&source=gbs_api","1","listPrice","5030340000","INR","IN","PARTIAL","True","False","ALLOWED","True","http://books.google.co.in/books/download/Data_Science-sample-epub.acsm?id=-nt8DwAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api","True","http://books.google.co.in/books/download/Data_Science-sample-pdf.acsm?id=-nt8DwAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api","http://play.google.com/books/reader?id=-nt8DwAAQBAJ&hl=&source=gbs_api","SAMPLE","False","Whether you are brand new to data science or working on your tenth project, this book will show you how to analyze data, uncover hidden patterns and relationships to aid important decisions and predictions."
"","","","","","","","","","","","","","","","ISBN_10","0128147628","","","","","","","","","","","","","","","","","","","","","","","","","","","","retailPrice","5030340000","INR","","","","","","","","","","","","",""
"","","books#volume","XhKSDwAAQBAJ","xKP0yw1Y6Dc","https://www.googleapis.com/books/v1/volumes/XhKSDwAAQBAJ","Data Science from Scratch","First Principles with Python","Joel Grus","","","","""O'Reilly Media, Inc.""","2019-04-12","Data science libraries, frameworks, modules, and toolkits are great for doing data science, but they’re also a good way to dive into the discipline without actually understanding data science. With this updated second edition, you’ll learn how many of the most fundamental data science tools and algorithms work by implementing them from scratch. If you have an aptitude for mathematics and some programming skills, author Joel Grus will help you get comfortable with the math and statistics at the core of data science, and with hacking skills you need to get started as a data scientist. Today’s messy glut of data holds answers to questions no one’s even thought to ask. This book provides you with the know-how to dig those answers out.","ISBN_13","9781492041085","True","True","387","BOOK","Computers","5","1","NOT_MATURE","True","1.2.2.0.preview.3","False","False","http://books.google.com/books/content?id=XhKSDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books/content?id=XhKSDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","en","http://books.google.co.in/books?id=XhKSDwAAQBAJ&printsec=frontcover&dq=data+science&hl=&cd=10&source=gbs_api","https://play.google.com/store/books/details?id=XhKSDwAAQBAJ&source=gbs_api","https://play.google.com/store/books/details?id=XhKSDwAAQBAJ","IN","FOR_SALE","True","3764.2","INR","3764.2","INR","https://play.google.com/store/books/details?id=XhKSDwAAQBAJ&rdid=book-XhKSDwAAQBAJ&rdot=1&source=gbs_api","1","listPrice","3764200000","INR","IN","PARTIAL","True","False","ALLOWED","True","","True","","http://play.google.com/books/reader?id=XhKSDwAAQBAJ&hl=&source=gbs_api","SAMPLE","False","Today’s messy glut of data holds answers to questions no one’s even thought to ask. This book provides you with the know-how to dig those answers out."
"","","","","","","","","","","","","","","","ISBN_10","1492041084","","","","","","","","","","","","","","","","","","","","","","","","","","","","retailPrice","3764200000","INR","","","","","","","","","","","","",""
